r,c
http://example.org/B8f0c19371742a23bd88911c71e4f2cb2,420008001
http://example.org/B74d5148d1fa41610107a26d7b159a75a,9826008
http://example.org/B051aad25a885159c23d893173b916575,active
http://example.org/B65a4885b2087377ef9bc8d31424a399c,confirmed
http://example.org/B6eff26a73d9417948a9877e82675159f,active
http://example.org/B262dd53bd352461d4cf3f74dc3fa5cee,active
http://example.org/B61df4d6ac9c9975e595602a7765c28f6,77386006
http://example.org/Bff06decd1909a12c49d06f63f8808e61,confirmed
http://example.org/Bd7f57828a95c7bb517c95900217f2271,225517006
http://example.org/B43c4037b86ba6c371080c14f928c20f4,271749004
http://example.org/Bdf9d459d4c1970992cffbf3c2917bf0d,confirmed
http://example.org/Bb0753d7924bd3007d2dbb2c3d41649e8,confirmed
http://example.org/B4b8eb4f6fd4013360dd69f8d64b491dd,confirmed
http://example.org/B55cf95b093622d2448b577d87205867a,confirmed
http://example.org/B01f3ff7c0a1e526ac570ee5e8676731a,confirmed
http://example.org/B95fb34d5a093fabbe30b85f230f23aed,active
http://example.org/Bf44a8d8acf351fbf9a2fa5a697dfc127,271749004
http://example.org/B3d530d15912ee62b54cfda3435ca555e,active
http://example.org/B854b8182ed22b49959051d4082005a06,active
http://example.org/Bf239d11bd2e268ec79c16e68f0a72bde,confirmed
http://example.org/Bfaf9dcdd0f86212a98337723891f9519,9826008
http://example.org/B2981f85c2362ec58fdc65c3db82ef7d1,active
http://example.org/Bfde4e87f1cad7595c5465fe513080ef5,confirmed
http://example.org/Bfe0fb4652ad116cc7129d89d1d9f12de,active
http://example.org/B55d1b095485176205b5ae8f64a14e541,420008001
http://example.org/B2298933b0382f60c55641e8172f6e09b,active
http://example.org/B2e0049a9c2371a1bc18e048a85f6c134,9826008
http://example.org/B9924e0a248a6150af4202e72d2110bb7,LOC
http://example.org/Bf12167b44cbca0449d73d5f29d34e507,active
http://example.org/B3b128433ad60cfd83653a27dca52391b,LOC
http://example.org/Be5e05ebe7103693d16540bee5e190f50,271749004
http://example.org/B9eb5656c46cafc773d1a0c415ef43445,confirmed
http://example.org/Bc48c78c7362208cdca6fd496b940bc29,225517006
http://example.org/Be118edf3a0005a6407340d8338fa2354,confirmed
http://example.org/Bebad77b0e409756e13063ecb540872bc,9826008
http://example.org/Bb7f76a8003b8b17281afa48a86bfe1ed,active
http://example.org/B0fe8b9258e50848ef64069f46e515a12,active
http://example.org/B16487f968a9cad168fee3dc7ffb45130,271749004
http://example.org/Bfe316a2f7bc03105ea7f267f899fb255,active
http://example.org/Bc964f7f1ce5e34596d22e841d1d1ed2c,271749004
http://example.org/Ba76856942fe3aadab76e262e849216c2,active
http://example.org/B13084f455308809521a08eab0a431286,225517006
http://example.org/B5091d5103faec9dd2251296fc3de2af7,225517006
http://example.org/B2b097ac38cca8dea9e077349fbd67ebb,420008001
http://example.org/B563da16292f028809c538e6068c4fdee,active
http://example.org/Baf2d7e7f626a85f9dc698a1e09d8ebc4,confirmed
http://example.org/B51b05877d097d224e7f1f8a11b8beada,225517006
http://example.org/Be7d4ee3008e4e14633094f89aadfb0a9,271749004
http://example.org/B4610745421e61fea86751fdb7913ecb6,confirmed
http://example.org/Ba571f535314dca13547112cf954726ff,confirmed
http://example.org/B425e70c07d1f9df4b2a35d836286583b,confirmed
http://example.org/B828bd7b7dc15372a3f218f44d13d2df3,active
http://example.org/Bc82b7ef5f8e05eb6202b78f50c987e7a,420008001
http://example.org/Bad250ad2ce11f71e79e84165214090c7,271749004
http://example.org/Bd15f05d1c50a5423c8ad3f64a9063e99,active
http://example.org/Bc4aa24c14315e63396bcae59fdd77e40,confirmed
http://example.org/B3b231dcc1863bb5e302a1de93a807f81,active
http://example.org/B06b8697c7bbbb49b039f2187e4942d97,LOC
http://example.org/B52cd32189a052442125b864fdf622663,271749004
http://example.org/B21ae76344fd41849fa00baecf01de80b,271749004
http://example.org/B547e2686bea5b9307684901180cff064,confirmed
http://example.org/B874cfd8447ac7327a9d1dc1d5a5f8bb5,9826008
http://example.org/B16161de02db9ce5f9b669077317aaa18,confirmed
http://example.org/B2d53ffe6c9902e33d50d815c09fdc84a,confirmed
http://example.org/Bb1e2360f8fffdd4c56323b135e9de1cd,9826008
http://example.org/B2f63fb62763a3c2960cedd2a9f4994b8,420008001
http://example.org/B6f975f1a33b31102801548d86102f8a2,9826008
http://example.org/B49f4a7c3d226c36663b3fa0e753f0a91,77386006
http://example.org/B519437232f1b001865e057c5786667cf,225517006
http://example.org/B97bd2ec43ee7976d728f2e46a1133323,confirmed
http://example.org/B22b161b31a0d4a2d92a258b190cefea4,225517006
http://example.org/B3407c449f69e8848b9d496d0f8067d65,LOC
http://example.org/Ba1b08c55db92eecc7b9a2c860b491773,active
http://example.org/Bcb46942a98295fa6cf4acce191d11d42,225517006
http://example.org/B286017662077bbe621ac03a176c301d6,confirmed
http://example.org/B15cc91e6bd2771fd002c931e269845e9,77386006
http://example.org/B9e5aa6e669793bbce2c34f728e719c00,77386006
http://example.org/B0bbad05e7d8ea2b8b1d5813d6b59d82b,77386006
http://example.org/Ba001a8ff21031d1213f9864cfb7d34e8,confirmed
http://example.org/B39b34ea11099bf18fea4e1bcfef1eecf,225517006
http://example.org/B423f36d976c7165f302307299e9902e5,77386006
http://example.org/B2f4e5d2f0193772671c9ce6d69e16534,420008001
http://example.org/Ba26545667195dbc025503d3e9a10e0e3,active
http://example.org/B919867918184620796c5d83a7209ff20,271749004
http://example.org/B47735f246cba8235eaeeb998d616a1a8,confirmed
http://example.org/B346170d9ce74c5215775c7fbb74c9e75,active
http://example.org/B12d74a2c085aff72f3f02052fd2a6199,225517006
http://example.org/B743d9adcddb1dcc1250acdb5db383017,confirmed
http://example.org/Bc46e5fc74ba8131a8e51d43138908403,confirmed
http://example.org/B48bae7282dbd5e8dc0e4eb8fede40b3f,420008001
http://example.org/B0214bbc9624534cb6eac1e7fdc344cbd,77386006
http://example.org/Bdbedaaefb67c39c0dd13986cf2dababc,confirmed
http://example.org/Ba59c8134b8f70d3868094b24bfc2b97e,9826008
http://example.org/Bb1f2575a0ef9d5a44cda100dba7059a3,LOC
http://example.org/Baf8a9df24078b145d508802735aef74d,420008001
http://example.org/B0922e7c87a92df0d38233c7c2b76cba6,confirmed
http://example.org/Bbef57ffe00b55143399b0dc91844ee37,271749004
http://example.org/B880b80c54b8bff11937243a58221f9cb,active
http://example.org/B7322a36ef8832baaab8f027a158fe192,active
http://example.org/B45a45eb8b24c8c6969318f825b42fd01,420008001
http://example.org/Bf571bcbdad84f790f9840a611e7cf949,271749004
http://example.org/B184a09c6f3eb87a32be4fccddc23e8bb,225517006
http://example.org/B7c8a5fc42a8ca435ca5a3b06771a5fbc,LOC
http://example.org/Bb214e727d952cec6c3dc3bd8875382a4,confirmed
http://example.org/B93a9bcbe48137fa52ba9a046e959f4ba,active
http://example.org/Bf850272313d858e4027fe15ef4455258,9826008
http://example.org/B6194cedd181f07227efd713fdd5bc2f0,271749004
http://example.org/Bf87ea79d43276ba085e5ec508f00f90b,confirmed
http://example.org/B2e521b250f46f57593020d77d4c420a9,active
http://example.org/B02ac2cfb55529c89fa5161162c532ddf,confirmed
http://example.org/Bb699a2e9db06867c3399d762281238bb,confirmed
http://example.org/B8b70561184fdcb9ab6d514aacb2968ab,271749004
http://example.org/B60fb6b0ce25f8648a9fed4565b3b2e87,225517006
http://example.org/B78fc6a6bd6ab743938ff7d0206e5e62a,confirmed
http://example.org/B4b51b7f010a395f0934c0b4c32e2e94e,LOC
http://example.org/B5c53bf83e3951ab445a3b53a68dabc8e,active
http://example.org/B566e809d6b0ecc81db38711e61d8321d,confirmed
http://example.org/B245d732e582dc3d507740bc1b1fcbd42,active
http://example.org/Bf6e8429f0c6c346a5a2d8da63cbed1e2,LOC
http://example.org/B6b8dc7f3184c8f42ba03e9c7dc5110b2,225517006
http://example.org/B70ffb4407e62b3666b9fe9479452d0d6,active
http://example.org/B72654e65665cc9bdeb76bf9e98ff1b79,confirmed
http://example.org/B12e7339a0e3129f5ce6adbffc5fa1376,active
http://example.org/Bd24588b54696ee9319e876a023e35408,420008001
http://example.org/B117a280a499fa2e50677b44c8c4046ab,LOC
http://example.org/Bb23a1cdc2dafb0450a7ff06aa9b7ea50,active
http://example.org/Bc9f6a337a0834a0e020a307d6168df65,225517006
http://example.org/Bb41cb4aac1b3a4a72441a3be1e91110c,confirmed
http://example.org/B104992aca7db5bfb3fba7fcf682474ff,9826008
http://example.org/Bc1cd8fe0d0c10347d0279eceeaf57e0c,271749004
http://example.org/B5b1ee7471d3f2ab30debd0fe14e0d8ca,77386006
http://example.org/B50c549adde638172208952e081d52c82,9826008
http://example.org/Bcfc8518a9162bd35ad30121c70d7d08b,9826008
http://example.org/Bdc5791c857d98b76671daaba34ad2fa2,9826008
http://example.org/B8053dfc8f1842b937bcb85d6f12d07b7,225517006
http://example.org/B5ed7f70375862374314fbca9482020bc,confirmed
http://example.org/Bbcde63cbcca2f22e10b14a90af66b24e,confirmed
http://example.org/B7bfb0d72e2bd51a15f2eb44837834e61,active
http://example.org/B5f7ab87ab73c41a20ae9c15050cdda88,confirmed
http://example.org/B95e9ad17462b083d51a152521b5bf4c4,77386006
http://example.org/B4589ba442dac844b8850be5aa0791002,active
http://example.org/B6791f16698516490cb8cd3a0c383cedf,confirmed
http://example.org/B8b80b9db600c565ccfedeeb6448ca98e,225517006
http://example.org/B98a7056bff234a61232f97a6df8ca74e,confirmed
http://example.org/Bf1d8fb433bb1c9687a6922e6b9dfbe4e,LOC
http://example.org/B9d816c8717ef4a618e0c97ffa42f8356,active
http://example.org/Bee29e8d63c7b8d382039f36668b9c9e0,420008001
http://example.org/Bd760ff6b13db966ac1a7e1a1f9cd0d4f,confirmed
http://example.org/B2049e4f60a8a53edbca58e2c0fb7da47,225517006
http://example.org/Bba1ef1425b15f3f26581b9ed8ce8310e,active
http://example.org/Bb80b39e82ddf3023f5bde890ef117d6a,active
http://example.org/B752a623a015e5bc93564f88134077f6a,active
http://example.org/B421377c1896f1bb0c1bba8f7639e20c5,271749004
http://example.org/B1a1da718a3fe9176698792ada5fd4f3e,confirmed
http://example.org/Bf24cdaf70538d5b2470edcb9ebb7288a,420008001
http://example.org/B289218818ef8c239a208add1550dcd7a,active
http://example.org/Ba38be449e5e208d2380b728b1b408afc,confirmed
http://example.org/Bfd01edc624e19ff7453bde257ce9d9cb,420008001
http://example.org/B43d547daa702adc11038789d50aad8e5,active
http://example.org/B6ff1bbee76eaf9227688c96ba40a62df,LOC
http://example.org/B8b987678f881bf51d47d21769ecd2768,active
http://example.org/Bde730ccdc0026010f1d0ea79bad27a5f,420008001
http://example.org/Bbaab4ac4b0db9d388447db80eccc0eb7,77386006
http://example.org/B0af9d8f24d87ca51cad95ba922557890,active
http://example.org/B6c4eb90253e0df6725d836402f90ddf3,420008001
http://example.org/B26386ed64a953d0916cdee70b6131221,active
http://example.org/B96781953673774fb5179c0f36da9e788,77386006
http://example.org/Bec8851c9e603e4bc2dadc7a4fa36ea7a,420008001
http://example.org/B3962a845894de07dfe97308a1c9df490,active
http://example.org/B3c41fdf95d747aa37ee6d3dd9fc8fd4f,active
http://example.org/B83617cbc245163acf214fe7265e08444,confirmed
http://example.org/Bd914c52f9cfa3f372937ba02d1127e9b,confirmed
http://example.org/Bfbf8525992793e8634d7a711bdae344c,active
http://example.org/B0b4ecf244aa756e07c965596b4468da5,active
http://example.org/B37abedd67b2fb6411a6504a5d4353727,active
http://example.org/Bffd61600c75f72297bbfe624874cec17,225517006
http://example.org/B6502affbe0af0f7023392a6a48b826cd,confirmed
http://example.org/Ba54d836e7649aecdaff16c690aeb95c0,225517006
http://example.org/B18cc2eb1e644ff28dc5497091efb0847,confirmed
http://example.org/B55ea43850435dd205a6873dac28923db,77386006
http://example.org/B53a5bb6000e0deca1cbee2148a561c10,225517006
http://example.org/B1e26f3cdac50759e8a229b48970ea62d,225517006
http://example.org/B8b6bc1a4907c67ea9e0513583cd5fcb3,9826008
http://example.org/Beda0c07ebd51036e588e86d1e235afa3,LOC
http://example.org/B011f20577498ff72d1d42137550f17b6,77386006
http://example.org/B7fd75b77bd2c1ceb805fc17b77c320ed,LOC
http://example.org/Bb70c3b51d43b73fbd2895bcccc8c0978,confirmed
http://example.org/Bc7e6366d210b033f5e5f4e083ae6932c,confirmed
http://example.org/B20ba5a1a93bcbf170d3bc216ced60663,420008001
http://example.org/Bb4cdddcae09a5fc4c7ffff660105818a,confirmed
http://example.org/B1eaed2a01b6b7f27f300ae1435afb643,active
http://example.org/B297931e50de11cdd2033d6ca8b92cf51,LOC
http://example.org/Bb4b9a4f48717a77dd183da30cb58a914,confirmed
http://example.org/Bd892d9a141286f5723fb990c78dcf9dc,225517006
http://example.org/B5003428299e0fe965bb5efd586aa62b6,confirmed
http://example.org/B944c844b05f2a60739dc523eac2d8c50,active
http://example.org/B7be762895b623b8c3ac02a904cc34be8,confirmed
http://example.org/B90c41535f61d5de0cef31dc3026ce5c5,confirmed
http://example.org/B503b5799cdcc7731dfd911b041b09c62,225517006
http://example.org/B14024ea323091ff2f5104db7d845c1c3,LOC
http://example.org/Bd71752c6752d6c19d6f538497077e544,LOC
http://example.org/B4d99149d8dd6fb50067fa1eec87f7c6c,active
http://example.org/B95d9057418163d77e7509114b946ae92,confirmed
http://example.org/Bfd92c6e67f20dad171197567628af6fa,420008001
http://example.org/Bb3cd8ae6f63c9a2ec06a6c8bc544c508,active
http://example.org/B83e5d2d9e83f3be16a05b48397a3da07,77386006
http://example.org/B4888dd8ac4b1422a7135c02b90738fc8,confirmed
http://example.org/B1978228829222194dedc815e2bd2547d,420008001
http://example.org/B0da448ca8bf079440364339f79b06573,77386006
http://example.org/B115d94867dfaab34244b3df604436063,active
http://example.org/Bea3910ce11b7fc8bfd3abf8817b0239f,confirmed
http://example.org/B13ae9909f14a6e30cec3acdf2dbe8bc2,225517006
http://example.org/B025698d4cc7547b7e0f49d4586db1437,9826008
http://example.org/Ba0d79219e5c41c4e8d8eb6fd325ab492,225517006
http://example.org/Bd91b6485039062c58581e7b52c4882e4,225517006
http://example.org/B12300be0cc6d172ed5c8179be292e359,confirmed
http://example.org/Bb063303c4717d051071c819460057256,225517006
http://example.org/B24aa027480f913db19be3550e9a4b90a,420008001
http://example.org/B542ee968e620f1d72e3769c19e665a12,420008001
http://example.org/B6dabc00f36cf49596ad35af09cf7db8f,271749004
http://example.org/Bc585f0695b12cac47ad9a3c1b62e0abe,active
http://example.org/B23c3b5cda50402f7332d41ff7b0d15a8,active
http://example.org/B1a55b8a41257b31948c5584c93b9592f,active
http://example.org/B1226a40af29252ec9877f9201bc79de5,LOC
http://example.org/B5f5e807c32b7f173c01db8f4410bd222,9826008
http://example.org/Bcdaac669fad01627bd9d23849873f2ab,77386006
http://example.org/B6dcf89ccc901d9167b7b6ec9e3852e17,420008001
http://example.org/B212a4aee145c5c1be2cc08566b612dc0,confirmed
http://example.org/Be83ddcd4c5843c1d491c19209e8daebe,LOC
http://example.org/B4c4fbe62f71eadc7a775f8d3e3b4fa22,active
http://example.org/B800d0e1dc925ec0ff2e9894efa321015,9826008
http://example.org/B1907e605118580399f3874a85cb4c859,confirmed
http://example.org/Be56cac6f98e7553a3d93b5b1536f8c9a,confirmed
http://example.org/Bad49af9af1037cb995928899b0fb8e48,confirmed
http://example.org/B3acde9564900e64e4c8f5e67554787a4,LOC
http://example.org/B56c0cc47f12adfe9b58663f57a497774,confirmed
http://example.org/B06a00c2d5c6a98c50cb7290e3ab23605,LOC
http://example.org/Bf74fb96ba43cb3f9e0fa4e1f57ef9e59,420008001
http://example.org/Bcb09a0e6ee75e33a973240a74650ce64,271749004
http://example.org/B1f9f29a69a9f5d806017a5621038c8b4,active
http://example.org/B369644500d9bed6913b65e4a7f39136d,confirmed
http://example.org/B34dcc2572d79ca4eb943d77a7d520210,271749004
http://example.org/B8887594e867b0c939a4e9caaf34876f2,9826008
http://example.org/Bd96b951ee7c09b49f0320b2671aaf489,active
http://example.org/B88c65963346de1810e1276209084e050,77386006
http://example.org/B2be981f2a0bc7f6e1b09dfe1ef2ff9a1,77386006
http://example.org/Bd9c3c5ea2a2fc95a6e9e26a4d6e485bd,active
http://example.org/B457eb8e30473c93b075968ee0033c61d,confirmed
http://example.org/B328c9b44cf4b2a014bfc8ef4aa271a40,225517006
http://example.org/B69ff40586d216b166a74cae4670e8b56,77386006
http://example.org/B795fd21ea50d7177140484ef9121aa84,9826008
http://example.org/B330ab83b75a908b63fcdbf5f8012759f,9826008
http://example.org/B74770e3a317870eb8d08b323f76c0b5f,confirmed
http://example.org/B32b17d666789df6320005299aca42b2d,confirmed
http://example.org/Bb82e20b03bb71fc08042de83a7a30588,confirmed
http://example.org/B92da9abe51f015351f23ac72d7adc019,confirmed
http://example.org/Ba4ca6aa403abf691a48981d07db304c9,active
http://example.org/Bde8779a7fac9dd43de2614bb8b80c9ec,active
http://example.org/B59062de099f90619bc3e612ea3e7313a,420008001
http://example.org/B24586edd933ee48273c0840db9b5abe4,225517006
http://example.org/B823d3e768f7289f732a0fe5de3c53f01,77386006
http://example.org/Bc272ae4f4a7abf3d73200d374cdee1ce,confirmed
http://example.org/Bc843a62a0469a2f418286059ae167ef1,225517006
http://example.org/B77e405f52fa3a8857b38a7bf43dc9426,420008001
http://example.org/B32e5dc5574c83748edb147ce58c2f55d,confirmed
http://example.org/B931b326d78b93e7d518c168c8e3d052a,420008001
http://example.org/B395c072f39f8d2f4dd97a5e00dcca913,active
http://example.org/B4519b9d71b5594091468a11a7b3c6cc2,LOC
http://example.org/B7ad712413219f0d07077aab124c6624a,confirmed
http://example.org/B464c86f9fc9dd30131f560888e7b22ee,225517006
http://example.org/Bca88aac7e8f7ce203e1f269e3603b549,LOC
http://example.org/Bfba9d1e26e69dc8058303722217e8b0f,active
http://example.org/B3aad97e86a2f6f9bfb4e25dae5053bf9,420008001
http://example.org/B0f751b75eeafb56f77114b19b1077a5c,LOC
http://example.org/Bcee06577bb6a52f9f968d062b94ee4c0,active
http://example.org/B48e682b65ec42bf959159f6676b9cf28,active
http://example.org/B6a872c757968459d57151fa0530f9e31,420008001
http://example.org/B1ba089ed4319561ae0ffa5d54749c6d7,LOC
http://example.org/B522616da083e6770d475ff6facff2610,active
http://example.org/B748a77adf8d68a4826638a28ddf92571,225517006
http://example.org/B5d00b04edb39781d8fd634d8a7afbeef,active
http://example.org/B02231467d6bec48ca009eff1435faef9,420008001
http://example.org/B43df086c534f295b46308738b1009e6a,active
http://example.org/B446bd97a03ffa5f883cc2ed3f97dd72c,420008001
http://example.org/B4e5017f9b1a76788fa625d3ea4290952,420008001
http://example.org/B883413b9a026134ff476d7a43c4eda0a,confirmed
http://example.org/B5ca93287457aad7e4753263a836a79eb,confirmed
http://example.org/Be58111bb09ff3a294381918a2f84f2b8,confirmed
http://example.org/B9c6c4f01bcd48d933cd0e928541b3e21,225517006
http://example.org/B5b844257389f952cb95529ad00139ef1,confirmed
http://example.org/Bc6520ddae350d0078a342dee497b02c4,LOC
http://example.org/B23dccda4c95389c519fb4f287f55fc92,active
http://example.org/B02dc4748dd222fecc465bd3d38bf254c,confirmed
http://example.org/B4bf4cd633e9357df5dd8ff9bb5b4e88d,225517006
http://example.org/Bf52c4417078ac3a9292f66af2be45e24,confirmed
http://example.org/Ba34dd4ad18a6c090ed5fa44ff0890129,active
http://example.org/Bc161548b63e2255e06a891857dc30124,active
http://example.org/B54837c5aa5a4d357497278ddc5806563,active
http://example.org/B98b6207f1f0939778180f3b5a005a3f7,confirmed
http://example.org/B4ad42b67f74a3a4b08e801cc0bc98d99,confirmed
http://example.org/B1d9043c8dc6d51bf3e94d8f3906096c9,9826008
http://example.org/Bcd2032ccf9d97b5988c3371c07214461,active
http://example.org/Bc7d4301b2f51df91b1ffdb333425ee18,77386006
http://example.org/B497a79d3f5b27a2be55f7528c7d833d3,9826008
http://example.org/Bfef0312ce7c596acecf238bd073edab6,LOC
http://example.org/B587ed38f28dac89ca408b427269722e6,77386006
http://example.org/Bf2dd559edce32e7c1fd5e6e614511023,active
http://example.org/B2d6e503a5e7036ae679fe0e7e76550d6,confirmed
http://example.org/Bd4e9f8dad42d56ac3f5685b5fde15cb3,225517006
http://example.org/B15fbc683c302e39c917f55b1210da848,active
http://example.org/Befb6f60479f78aa66515a3563ac6ae1b,420008001
http://example.org/Bad862656c4554c4e7891b7330fd32622,active
http://example.org/B3767300a9d840c42cc553993f2884b81,LOC
http://example.org/B969fda1e796b4a47fee1944ce6d49d25,confirmed
http://example.org/Bf1b5420d2d2e970b97f2027ae4011363,420008001
http://example.org/B58bd04c2e1f1c5a148d6a2c64001a3b1,77386006
http://example.org/B2d7d2623003132354613c55e1e0fc3ed,77386006
http://example.org/Beac23299062351ac41bb3bf4b5f706b6,active
http://example.org/B851561a795891e18cd5251ded35d9d2a,77386006
http://example.org/Bc0e22be457cf1a8d68fab0f80c09e6a8,active
http://example.org/B6b7d65b7bdea4e3e0d13351785a59c88,active
http://example.org/Bc05d40e9c17da2201cef29a1e73a476c,active
http://example.org/B90e2300fc9aee72503f02e6790baca30,confirmed
http://example.org/B6cad6fcf94e70131ce26a8829543c296,LOC
http://example.org/B56ff51af782ece9a3ff7db9ce0a0e042,confirmed
http://example.org/Bd94989b6f19d4bf25623efd18432d731,active
http://example.org/B4e3471561e160ea7f899d53302f6db87,420008001
http://example.org/B63a253dd9e21b8eb0bc187aff646fad4,420008001
http://example.org/Bc569739295bd219c6069b3b0a2617d05,active
http://example.org/B1d94f8bf28c44caa1d3338801e30ff54,420008001
http://example.org/Bd9ebd118081b0d173f770f0390359605,confirmed
http://example.org/B0f18fb03d1c94d75b06b5a98c2787912,active
http://example.org/B4d61f431c6b9a70f7f82e64518a04225,225517006
http://example.org/Bcdefb5294d5decf7ff8891fb25cf5013,271749004
http://example.org/Ba39d7e1c7f989fab24c02ff5f68fcf56,420008001
http://example.org/B9edbb891230688825e2474e0a86466b8,271749004
http://example.org/Baf9f28192ee643cc302742b7df49fd45,420008001
http://example.org/Be8ff059bf935ecbd8e04a65f1e89ae19,77386006
http://example.org/Bad641536a4f6f2609bb10b2458870649,active
http://example.org/B8f05de873ca8bf72dc08ad218a85127c,9826008
http://example.org/B22630cbd6b2f62de600cbfbb349456ea,confirmed
http://example.org/B039e59352fc553af5450b212014149d9,420008001
http://example.org/Be054f8fed0fe9b3c4ffa81a1016a4801,420008001
http://example.org/B3369ca39b4a35bbb3980473cbc0b3020,420008001
http://example.org/B1f952813a3fb4a673db40df915603957,271749004
http://example.org/B5641c04991ceac21f4e69878bf70cce2,active
http://example.org/Be6646aa0975b8abba32407da6e2df9f8,420008001
http://example.org/B1c04e769a89512418a185c3aa7c821ee,420008001
http://example.org/B4ba8dc60576cc965753dcefa498b33f8,active
http://example.org/Ba1f8821d1b918e297f71765f022161f3,active
http://example.org/Bb3bc8344b7a4e750225e5c34b14e7be6,confirmed
http://example.org/B32de01b7a4ff2d1d135fa0ff98d72683,active
http://example.org/B8614d2f97470a1d9cb200cc99c66f616,active
http://example.org/B93bf31fcf6a231b63b1156803f18528c,active
http://example.org/Bd1d47a8e56f353626036bcaf6b80675c,420008001
http://example.org/B59ddaeff0edf0cb3dea855ad3f8a8472,active
http://example.org/B2d3cc00f702e322fa7123c46c4247111,confirmed
http://example.org/Bc9d9896c410fc855e4a114a75b9fe5e5,confirmed
http://example.org/Bbded97d6ee5821737b981e58cc81d28f,confirmed
http://example.org/B764d57db49054ce146dd6ccd61bbcdf0,active
http://example.org/Bfde435b2adbd22d5fce7b428afa036bb,confirmed
http://example.org/B0a7ada493ebebebc3ebc96ff401dca05,active
http://example.org/B690d869c72d4a85df44700db8c01e5ab,77386006
http://example.org/B482c64a0c40bd7ce79e1f2ea8d35dfe1,9826008
http://example.org/Ba19d3e150659d567639f388e2f6d134b,271749004
http://example.org/B87b46e75e321511f026c1f06324b257f,active
http://example.org/Bd2d5b7a99adaa7ecaa6c35388fa106ca,confirmed
http://example.org/Beb60f5b28588a663ae815d3809c3a819,LOC
http://example.org/B1ec72b99c3649ebf3502835618fe059e,271749004
http://example.org/B75c5e694693aa32314b51475be391599,active
http://example.org/B93a580ffd2d0f610ba69abb2b805aaa1,9826008
http://example.org/B9414c2d382d1761ace1275aa5f155af4,active
http://example.org/B8a9fb0726da41fa3c76f0d1825883321,271749004
http://example.org/B34435df2daa18c19219b26b17ff095ab,active
http://example.org/B5d32d2f2fc22fb5ec27a3af67ce8b0df,active
http://example.org/B58dd1270c70be8e8a1d6df650813728c,confirmed
http://example.org/Bdb13c461d1c29ec45edc73f3cc968993,LOC
http://example.org/Bf529ae5bf587f891b3f344a115eb4f28,420008001
http://example.org/B7a96f4eb809013e304d09bbcc7812763,confirmed
http://example.org/Bd56bdd9b2d28a8bb1d22bd22500ec185,active
http://example.org/Bf230059621f87c95318d3c2eccab5d90,active
http://example.org/B98d5fb9a7738b6516fc881a22b856dd2,active
http://example.org/Ba68cb6bbc712505b400c7cd22aa56e6d,9826008
http://example.org/B9f708af7425738c3de427a1f1e8e985f,active
