query,data,type,phase,netw_time,reas_time
query-18.n3,data.n3,direct,n/a,9,6
query-18.n3,data.n3,bwd,create,16,70
query-18.n3,data.n3,bwd,run,14,2
query-18.n3,data.n3,bwd,total,30,72
query-18.n3,data.n3,fwd,create,16,72
query-18.n3,data.n3,fwd,run,14,3
query-18.n3,data.n3,fwd,total,30,75
query-19.n3,data.n3,direct,n/a,10,3
query-19.n3,data.n3,bwd,create,17,63
query-19.n3,data.n3,bwd,run,14,0
query-19.n3,data.n3,bwd,total,31,63
query-19.n3,data.n3,fwd,create,16,65
query-19.n3,data.n3,fwd,run,14,4
query-19.n3,data.n3,fwd,total,30,69
query-2.n3,data.n3,direct,n/a,10,1313
query-2.n3,data.n3,bwd,create,17,75
query-2.n3,data.n3,bwd,run,18,492
query-2.n3,data.n3,bwd,total,35,567
query-2.n3,data.n3,fwd,create,17,76
query-2.n3,data.n3,fwd,run,18,125
query-2.n3,data.n3,fwd,total,35,201
query-20.n3,data.n3,direct,n/a,11,3284
query-20.n3,data.n3,bwd,create,16,116
query-20.n3,data.n3,bwd,run,27,40638
query-20.n3,data.n3,bwd,total,43,40754
query-20.n3,data.n3,fwd,create,16,117
query-20.n3,data.n3,fwd,run,25,69
query-20.n3,data.n3,fwd,total,41,186
query-21.n3,data.n3,direct,n/a,10,2
query-21.n3,data.n3,bwd,create,16,41
query-21.n3,data.n3,bwd,run,11,1
query-21.n3,data.n3,bwd,total,27,42
query-21.n3,data.n3,fwd,create,16,41
query-21.n3,data.n3,fwd,run,11,2
query-21.n3,data.n3,fwd,total,27,43
query-22.n3,data.n3,direct,n/a,10,33
query-22.n3,data.n3,bwd,create,16,61
query-22.n3,data.n3,bwd,run,15,14
query-22.n3,data.n3,bwd,total,31,75
query-22.n3,data.n3,fwd,create,16,61
query-22.n3,data.n3,fwd,run,15,7
query-22.n3,data.n3,fwd,total,31,68
query-23.n3,data.n3,direct,n/a,10,165
query-23.n3,data.n3,bwd,create,16,66
query-23.n3,data.n3,bwd,run,12,25
query-23.n3,data.n3,bwd,total,28,91
query-23.n3,data.n3,fwd,create,16,67
query-23.n3,data.n3,fwd,run,12,33
query-23.n3,data.n3,fwd,total,28,100
query-24.n3,data.n3,direct,n/a,10,2881
query-24.n3,data.n3,bwd,create,17,101
query-24.n3,data.n3,bwd,run,17,1200
query-24.n3,data.n3,bwd,total,34,1301
query-24.n3,data.n3,fwd,create,16,102
query-24.n3,data.n3,fwd,run,17,78
query-24.n3,data.n3,fwd,total,33,180
query-25.n3,data.n3,direct,n/a,9,61
query-25.n3,data.n3,bwd,create,16,63
query-25.n3,data.n3,bwd,run,11,9
query-25.n3,data.n3,bwd,total,27,72
query-25.n3,data.n3,fwd,create,16,63
query-25.n3,data.n3,fwd,run,11,6
query-25.n3,data.n3,fwd,total,27,69
query-26.n3,data.n3,direct,n/a,10,7
query-26.n3,data.n3,bwd,create,16,52
query-26.n3,data.n3,bwd,run,11,1
query-26.n3,data.n3,bwd,total,27,53
query-26.n3,data.n3,fwd,create,16,53
query-26.n3,data.n3,fwd,run,11,2
query-26.n3,data.n3,fwd,total,27,55
query-27.n3,data.n3,direct,n/a,-1,-1
query-27.n3,data.n3,bwd,create,16,80
query-27.n3,data.n3,bwd,run,-1,-1
query-27.n3,data.n3,bwd,total,15,79
query-27.n3,data.n3,fwd,create,16,80
query-27.n3,data.n3,fwd,run,18,87
query-27.n3,data.n3,fwd,total,34,167
query-28.n3,data.n3,direct,n/a,-1,-1
query-28.n3,data.n3,bwd,create,17,112
query-28.n3,data.n3,bwd,run,-1,-1
query-28.n3,data.n3,bwd,total,16,111
query-28.n3,data.n3,fwd,create,17,112
query-28.n3,data.n3,fwd,run,23,65
query-28.n3,data.n3,fwd,total,40,177
query-29.n3,data.n3,direct,n/a,10,85
query-29.n3,data.n3,bwd,create,16,72
query-29.n3,data.n3,bwd,run,13,20
query-29.n3,data.n3,bwd,total,29,92
query-29.n3,data.n3,fwd,create,16,73
query-29.n3,data.n3,fwd,run,13,26
query-29.n3,data.n3,fwd,total,29,99
query-3.n3,data.n3,direct,n/a,10,357
query-3.n3,data.n3,bwd,create,16,67
query-3.n3,data.n3,bwd,run,16,49
query-3.n3,data.n3,bwd,total,32,116
query-3.n3,data.n3,fwd,create,16,67
query-3.n3,data.n3,fwd,run,16,25
query-3.n3,data.n3,fwd,total,32,92
query-30.n3,data.n3,direct,n/a,9,5
query-30.n3,data.n3,bwd,create,15,73
query-30.n3,data.n3,bwd,run,14,1
query-30.n3,data.n3,bwd,total,29,74
query-30.n3,data.n3,fwd,create,16,75
query-30.n3,data.n3,fwd,run,13,6
query-30.n3,data.n3,fwd,total,29,81
query-31.n3,data.n3,direct,n/a,10,4929
query-31.n3,data.n3,bwd,create,16,62
query-31.n3,data.n3,bwd,run,11,1136
query-31.n3,data.n3,bwd,total,27,1198
query-31.n3,data.n3,fwd,create,16,64
query-31.n3,data.n3,fwd,run,11,61
query-31.n3,data.n3,fwd,total,27,125
query-32.n3,data.n3,direct,n/a,10,41
query-32.n3,data.n3,bwd,create,16,64
query-32.n3,data.n3,bwd,run,14,5
query-32.n3,data.n3,bwd,total,30,69
query-32.n3,data.n3,fwd,create,16,65
query-32.n3,data.n3,fwd,run,14,6
query-32.n3,data.n3,fwd,total,30,71
query-33.n3,data.n3,direct,n/a,10,150
query-33.n3,data.n3,bwd,create,16,69
query-33.n3,data.n3,bwd,run,16,15
query-33.n3,data.n3,bwd,total,32,84
query-33.n3,data.n3,fwd,create,16,69
query-33.n3,data.n3,fwd,run,16,7
query-33.n3,data.n3,fwd,total,32,76
query-34.n3,data.n3,direct,n/a,-1,-1
query-34.n3,data.n3,bwd,create,16,71
query-34.n3,data.n3,bwd,run,19,9705
query-34.n3,data.n3,bwd,total,35,9776
query-34.n3,data.n3,fwd,create,15,78
query-34.n3,data.n3,fwd,run,17,39
query-34.n3,data.n3,fwd,total,32,117
query-35.n3,data.n3,direct,n/a,10,6
query-35.n3,data.n3,bwd,create,17,74
query-35.n3,data.n3,bwd,run,13,0
query-35.n3,data.n3,bwd,total,30,74
query-35.n3,data.n3,fwd,create,16,73
query-35.n3,data.n3,fwd,run,13,6
query-35.n3,data.n3,fwd,total,29,79
query-36.n3,data.n3,direct,n/a,10,150
query-36.n3,data.n3,bwd,create,16,81
query-36.n3,data.n3,bwd,run,15,30
query-36.n3,data.n3,bwd,total,31,111
query-36.n3,data.n3,fwd,create,16,83
query-36.n3,data.n3,fwd,run,15,19
query-36.n3,data.n3,fwd,total,31,102
query-37.n3,data.n3,direct,n/a,10,5
query-37.n3,data.n3,bwd,create,16,39
query-37.n3,data.n3,bwd,run,9,1
query-37.n3,data.n3,bwd,total,25,40
query-37.n3,data.n3,fwd,create,17,40
query-37.n3,data.n3,fwd,run,9,3
query-37.n3,data.n3,fwd,total,26,43
query-38.n3,data.n3,direct,n/a,-1,-1
query-38.n3,data.n3,bwd,create,16,64
query-38.n3,data.n3,bwd,run,18,11675
query-38.n3,data.n3,bwd,total,34,11739
query-38.n3,data.n3,fwd,create,16,65
query-38.n3,data.n3,fwd,run,16,48
query-38.n3,data.n3,fwd,total,32,113
query-39.n3,data.n3,direct,n/a,10,22
query-39.n3,data.n3,bwd,create,16,51
query-39.n3,data.n3,bwd,run,10,2
query-39.n3,data.n3,bwd,total,26,53
query-39.n3,data.n3,fwd,create,15,66
query-39.n3,data.n3,fwd,run,10,14
query-39.n3,data.n3,fwd,total,25,80
query-4.n3,data.n3,direct,n/a,11,35
query-4.n3,data.n3,bwd,create,16,80
query-4.n3,data.n3,bwd,run,17,9
query-4.n3,data.n3,bwd,total,33,89
query-4.n3,data.n3,fwd,create,16,80
query-4.n3,data.n3,fwd,run,17,9
query-4.n3,data.n3,fwd,total,33,89
query-40.n3,data.n3,direct,n/a,-1,-1
query-40.n3,data.n3,bwd,create,16,84
query-41.n3,data.n3,direct,n/a,11,1639
query-41.n3,data.n3,bwd,create,17,96
query-41.n3,data.n3,bwd,run,20,264
query-41.n3,data.n3,bwd,total,37,360
query-41.n3,data.n3,fwd,create,16,105
query-41.n3,data.n3,fwd,run,21,11
query-41.n3,data.n3,fwd,total,37,116
query-42.n3,data.n3,direct,n/a,10,1
query-42.n3,data.n3,bwd,create,17,54
query-42.n3,data.n3,bwd,run,12,0
query-42.n3,data.n3,bwd,total,29,54
query-42.n3,data.n3,fwd,create,15,55
query-42.n3,data.n3,fwd,run,11,2
query-42.n3,data.n3,fwd,total,26,57
query-43.n3,data.n3,direct,n/a,-1,-1
query-43.n3,data.n3,bwd,create,19,61
query-43.n3,data.n3,bwd,run,11,1975
query-43.n3,data.n3,bwd,total,30,2036
query-43.n3,data.n3,fwd,create,22,63
query-43.n3,data.n3,fwd,run,11,41
query-43.n3,data.n3,fwd,total,33,104
query-44.n3,data.n3,direct,n/a,10,2
query-44.n3,data.n3,bwd,create,16,53
query-44.n3,data.n3,bwd,run,10,0
query-44.n3,data.n3,bwd,total,26,53
query-44.n3,data.n3,fwd,create,18,41
query-44.n3,data.n3,fwd,run,20,1
query-44.n3,data.n3,fwd,total,38,42
query-45.n3,data.n3,direct,n/a,10,48251
query-45.n3,data.n3,bwd,create,17,67
query-45.n3,data.n3,bwd,run,13,22623
query-45.n3,data.n3,bwd,total,30,22690
query-45.n3,data.n3,fwd,create,23,65
query-45.n3,data.n3,fwd,run,13,746
query-45.n3,data.n3,fwd,total,36,811
query-46.n3,data.n3,direct,n/a,13,1
query-46.n3,data.n3,bwd,create,15,32
query-46.n3,data.n3,bwd,run,7,0
query-46.n3,data.n3,bwd,total,22,32
query-46.n3,data.n3,fwd,create,15,32
query-46.n3,data.n3,fwd,run,7,1
query-46.n3,data.n3,fwd,total,22,33
query-47.n3,data.n3,direct,n/a,15,1
query-47.n3,data.n3,bwd,create,16,40
query-47.n3,data.n3,bwd,run,9,0
query-47.n3,data.n3,bwd,total,25,40
query-47.n3,data.n3,fwd,create,15,42
query-47.n3,data.n3,fwd,run,14,2
query-47.n3,data.n3,fwd,total,29,44
query-48.n3,data.n3,direct,n/a,9,2
query-48.n3,data.n3,bwd,create,16,52
query-48.n3,data.n3,bwd,run,11,1
query-48.n3,data.n3,bwd,total,27,53
query-48.n3,data.n3,fwd,create,15,53
query-48.n3,data.n3,fwd,run,10,2
query-48.n3,data.n3,fwd,total,25,55
query-49.n3,data.n3,direct,n/a,-1,-1
query-49.n3,data.n3,bwd,create,18,122
query-5.n3,data.n3,direct,n/a,9,11
query-5.n3,data.n3,bwd,create,16,67
query-5.n3,data.n3,bwd,run,13,1
query-5.n3,data.n3,bwd,total,29,68
query-5.n3,data.n3,fwd,create,23,78
query-5.n3,data.n3,fwd,run,22,10
query-5.n3,data.n3,fwd,total,45,88
query-6.n3,data.n3,direct,n/a,-1,-1
query-6.n3,data.n3,bwd,create,22,75
query-6.n3,data.n3,bwd,run,-1,-1
query-6.n3,data.n3,bwd,total,21,74
query-6.n3,data.n3,fwd,create,18,60
query-6.n3,data.n3,fwd,run,15,69
query-6.n3,data.n3,fwd,total,33,129
query-7.n3,data.n3,direct,n/a,10,882
query-7.n3,data.n3,bwd,create,16,79
query-7.n3,data.n3,bwd,run,16,487
query-7.n3,data.n3,bwd,total,32,566
query-7.n3,data.n3,fwd,create,16,80
query-7.n3,data.n3,fwd,run,16,133
query-7.n3,data.n3,fwd,total,32,213
query-8.n3,data.n3,direct,n/a,-1,-1
query-8.n3,data.n3,bwd,create,16,70
query-8.n3,data.n3,bwd,run,-1,-1
query-8.n3,data.n3,bwd,total,15,69
query-8.n3,data.n3,fwd,create,16,72
query-8.n3,data.n3,fwd,run,16,172
query-8.n3,data.n3,fwd,total,32,244
query-9.n3,data.n3,direct,n/a,9,3
query-9.n3,data.n3,bwd,create,16,41
query-9.n3,data.n3,bwd,run,10,1
query-9.n3,data.n3,bwd,total,26,42
query-9.n3,data.n3,fwd,create,16,45
query-9.n3,data.n3,fwd,run,10,2
query-9.n3,data.n3,fwd,total,26,47
