?P5=null,z=http://example.org/gmark/60205,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/60205,v=http://example.org/gmark/1615
?P5=null,z=http://example.org/gmark/63699,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63699,v=http://example.org/gmark/4670
?P5=null,z=http://example.org/gmark/63699,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63699,v=http://example.org/gmark/3622
?P5=null,z=http://example.org/gmark/63699,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63699,v=http://example.org/gmark/3826
?P5=null,z=http://example.org/gmark/63699,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63699,v=http://example.org/gmark/1733
?P5=null,z=http://example.org/gmark/63699,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63699,v=http://example.org/gmark/5082
?P5=null,z=http://example.org/gmark/63699,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63699,v=http://example.org/gmark/6536
?P5=null,z=http://example.org/gmark/63699,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63699,v=http://example.org/gmark/5227
?P5=null,z=http://example.org/gmark/63699,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63699,v=http://example.org/gmark/5037
?P5=null,z=http://example.org/gmark/63699,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63699,v=http://example.org/gmark/2254
?P5=null,z=http://example.org/gmark/63699,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63699,v=http://example.org/gmark/3278
?P5=null,z=http://example.org/gmark/63699,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63699,v=http://example.org/gmark/3948
?P5=null,z=http://example.org/gmark/63699,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63699,v=http://example.org/gmark/790
?P5=null,z=http://example.org/gmark/63699,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63699,v=http://example.org/gmark/3446
?P5=null,z=http://example.org/gmark/63699,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63699,v=http://example.org/gmark/3605
?P5=null,z=http://example.org/gmark/63699,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63699,v=http://example.org/gmark/134
?P5=null,z=http://example.org/gmark/63699,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63699,v=http://example.org/gmark/2459
?P5=null,z=http://example.org/gmark/63699,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63699,v=http://example.org/gmark/4284
?P5=null,z=http://example.org/gmark/63699,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63699,v=http://example.org/gmark/6252
?P5=null,z=http://example.org/gmark/63845,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63845,v=http://example.org/gmark/4853
?P5=null,z=http://example.org/gmark/63980,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63845,v=http://example.org/gmark/4853
?P5=null,z=http://example.org/gmark/62289,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/64275,v=http://example.org/gmark/1928
?P5=null,z=http://example.org/gmark/62289,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/64275,v=http://example.org/gmark/5003
?P5=null,z=http://example.org/gmark/64275,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/64275,v=http://example.org/gmark/1928
?P5=null,z=http://example.org/gmark/64275,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/64275,v=http://example.org/gmark/5003
?P5=null,z=http://example.org/gmark/64447,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/64447,v=http://example.org/gmark/3014
?P5=null,z=http://example.org/gmark/64517,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/64517,v=http://example.org/gmark/2466
?P5=null,z=http://example.org/gmark/64608,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/64608,v=http://example.org/gmark/2613
?P5=null,z=http://example.org/gmark/64750,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/64750,v=http://example.org/gmark/6228
?P5=null,z=http://example.org/gmark/64750,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/64750,v=http://example.org/gmark/3948
?P5=null,z=http://example.org/gmark/64890,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/64890,v=http://example.org/gmark/111
?P5=null,z=http://example.org/gmark/64986,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/64986,v=http://example.org/gmark/3948
?P5=null,z=http://example.org/gmark/60432,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/65444,v=http://example.org/gmark/3948
?P5=null,z=http://example.org/gmark/63540,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/65444,v=http://example.org/gmark/3948
?P5=null,z=http://example.org/gmark/65444,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/65444,v=http://example.org/gmark/3948
?P5=null,z=http://example.org/gmark/65706,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/65706,v=http://example.org/gmark/332
?P5=null,z=http://example.org/gmark/65706,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/65706,v=http://example.org/gmark/1651
?P5=null,z=http://example.org/gmark/65706,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/65706,v=http://example.org/gmark/3948
?P5=null,z=http://example.org/gmark/65706,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/65706,v=http://example.org/gmark/2019
?P5=null,z=http://example.org/gmark/65805,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/65805,v=http://example.org/gmark/3113
?P5=null,z=http://example.org/gmark/60696,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/65884,v=http://example.org/gmark/3948
?P5=null,z=http://example.org/gmark/65884,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/65884,v=http://example.org/gmark/3948
?P5=null,z=http://example.org/gmark/65950,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/65950,v=http://example.org/gmark/1911
?P5=null,z=http://example.org/gmark/65950,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/65950,v=http://example.org/gmark/45
?P5=null,z=http://example.org/gmark/66138,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66138,v=http://example.org/gmark/1691
?P5=null,z=http://example.org/gmark/66138,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66138,v=http://example.org/gmark/4078
?P5=null,z=http://example.org/gmark/66138,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66138,v=http://example.org/gmark/6090
?P5=null,z=http://example.org/gmark/66138,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66138,v=http://example.org/gmark/4432
?P5=null,z=http://example.org/gmark/60555,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66252,v=http://example.org/gmark/2231
?P5=null,z=http://example.org/gmark/60555,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66252,v=http://example.org/gmark/1288
?P5=null,z=http://example.org/gmark/66252,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66252,v=http://example.org/gmark/2231
?P5=null,z=http://example.org/gmark/66252,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66252,v=http://example.org/gmark/1288
?P5=null,z=http://example.org/gmark/66545,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66545,v=http://example.org/gmark/3565
?P5=null,z=http://example.org/gmark/66545,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66545,v=http://example.org/gmark/3948
?P5=null,z=http://example.org/gmark/66545,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66545,v=http://example.org/gmark/2992
?P5=null,z=http://example.org/gmark/69600,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/69600,v=http://example.org/gmark/5147
?P5=null,z=http://example.org/gmark/71185,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/71185,v=http://example.org/gmark/134
?P5=null,z=http://example.org/gmark/68640,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/71185,v=http://example.org/gmark/134
?P5=null,z=http://example.org/gmark/67938,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/67938,v=http://example.org/gmark/2907
?P5=null,z=http://example.org/gmark/67938,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/67938,v=http://example.org/gmark/1227
?P5=null,z=http://example.org/gmark/69913,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/69913,v=http://example.org/gmark/2693
?P5=null,z=http://example.org/gmark/69913,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/69913,v=http://example.org/gmark/6013
?P5=null,z=http://example.org/gmark/66971,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66971,v=http://example.org/gmark/3170
?P5=null,z=http://example.org/gmark/66971,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66971,v=http://example.org/gmark/3948
?P5=null,z=http://example.org/gmark/71584,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/71584,v=http://example.org/gmark/1541
?P5=null,z=http://example.org/gmark/71584,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/71584,v=http://example.org/gmark/2936
?P5=null,z=http://example.org/gmark/71584,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/71584,v=http://example.org/gmark/3740
?P5=null,z=http://example.org/gmark/67500,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/71584,v=http://example.org/gmark/1541
?P5=null,z=http://example.org/gmark/67500,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/71584,v=http://example.org/gmark/2936
?P5=null,z=http://example.org/gmark/67500,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/71584,v=http://example.org/gmark/3740
?P5=null,z=http://example.org/gmark/70274,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/70274,v=http://example.org/gmark/2574
?P5=null,z=http://example.org/gmark/70274,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/70274,v=http://example.org/gmark/6415
?P5=null,z=http://example.org/gmark/68111,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/68111,v=http://example.org/gmark/3948
?P5=null,z=http://example.org/gmark/66790,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66790,v=http://example.org/gmark/1691
?P5=null,z=http://example.org/gmark/66790,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66790,v=http://example.org/gmark/1691
?P5=null,z=http://example.org/gmark/66790,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66790,v=http://example.org/gmark/704
?P5=null,z=http://example.org/gmark/66790,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66790,v=http://example.org/gmark/283
?P5=null,z=http://example.org/gmark/66790,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66790,v=http://example.org/gmark/791
?P5=null,z=http://example.org/gmark/66790,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66790,v=http://example.org/gmark/22
?P5=null,z=http://example.org/gmark/73238,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/73238,v=http://example.org/gmark/5524
?P5=null,z=http://example.org/gmark/73238,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/73238,v=http://example.org/gmark/889
?P5=null,z=http://example.org/gmark/73238,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/73238,v=http://example.org/gmark/3722
?P5=null,z=http://example.org/gmark/73238,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/73238,v=http://example.org/gmark/2583
?P5=null,z=http://example.org/gmark/73238,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/73238,v=http://example.org/gmark/1238
?P5=null,z=http://example.org/gmark/73238,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/73238,v=http://example.org/gmark/79
?P5=null,z=http://example.org/gmark/73238,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/73238,v=http://example.org/gmark/5147
?P5=null,z=http://example.org/gmark/73238,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/73238,v=http://example.org/gmark/3286
?P5=null,z=http://example.org/gmark/73238,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/73238,v=http://example.org/gmark/1590
?P5=null,z=http://example.org/gmark/73238,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/73238,v=http://example.org/gmark/2767
?P5=null,z=http://example.org/gmark/70581,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/70581,v=http://example.org/gmark/2708
?P5=null,z=http://example.org/gmark/68031,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/68031,v=http://example.org/gmark/2802
?P5=null,z=http://example.org/gmark/68031,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/68031,v=http://example.org/gmark/1613
?P5=null,z=http://example.org/gmark/71882,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/71882,v=http://example.org/gmark/711
?P5=null,z=http://example.org/gmark/72422,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/72422,v=http://example.org/gmark/3329
?P5=null,z=http://example.org/gmark/68744,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/72422,v=http://example.org/gmark/3329
?P5=null,z=http://example.org/gmark/67816,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/67816,v=http://example.org/gmark/5147
?P5=null,z=http://example.org/gmark/72764,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/67816,v=http://example.org/gmark/5147
?P5=null,z=http://example.org/gmark/68591,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/68591,v=http://example.org/gmark/3587
?P5=null,z=http://example.org/gmark/72926,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/68591,v=http://example.org/gmark/3587
?P5=null,z=http://example.org/gmark/71641,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/71641,v=http://example.org/gmark/4640
?P5=null,z=http://example.org/gmark/70634,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/71641,v=http://example.org/gmark/4640
?P5=null,z=http://example.org/gmark/69762,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/69762,v=http://example.org/gmark/328
?P5=null,z=http://example.org/gmark/66987,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66987,v=http://example.org/gmark/2168
?P5=null,z=http://example.org/gmark/70459,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66987,v=http://example.org/gmark/2168
?P5=null,z=http://example.org/gmark/69400,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/69400,v=http://example.org/gmark/2168
?P5=null,z=http://example.org/gmark/70682,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/70682,v=http://example.org/gmark/134
?P5=null,z=http://example.org/gmark/71672,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/71672,v=http://example.org/gmark/255
?P5=null,z=http://example.org/gmark/71672,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/71672,v=http://example.org/gmark/6460
?P5=null,z=http://example.org/gmark/71672,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/71672,v=http://example.org/gmark/2699
?P5=null,z=http://example.org/gmark/71441,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/71672,v=http://example.org/gmark/255
?P5=null,z=http://example.org/gmark/71441,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/71672,v=http://example.org/gmark/6460
?P5=null,z=http://example.org/gmark/71441,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/71672,v=http://example.org/gmark/2699
?P5=null,z=http://example.org/gmark/69679,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/69679,v=http://example.org/gmark/1691
?P5=null,z=http://example.org/gmark/69679,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/69679,v=http://example.org/gmark/6570
?P5=null,z=http://example.org/gmark/66836,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66836,v=http://example.org/gmark/3948
?P5=null,z=http://example.org/gmark/67787,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/67787,v=http://example.org/gmark/4738
?P5=null,z=http://example.org/gmark/72473,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/72473,v=http://example.org/gmark/5890
?P5=null,z=http://example.org/gmark/72473,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/72473,v=http://example.org/gmark/2060
?P5=null,z=http://example.org/gmark/66754,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66754,v=http://example.org/gmark/1
?P5=null,z=http://example.org/gmark/69048,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/69048,v=http://example.org/gmark/2906
?P5=null,z=http://example.org/gmark/69048,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/69048,v=http://example.org/gmark/3948
?P5=null,z=http://example.org/gmark/67066,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/67066,v=http://example.org/gmark/2805
?P5=null,z=http://example.org/gmark/67066,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/67066,v=http://example.org/gmark/100
?P5=null,z=http://example.org/gmark/69764,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/69764,v=http://example.org/gmark/3140
?P5=null,z=http://example.org/gmark/67071,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/67071,v=http://example.org/gmark/6484
?P5=null,z=http://example.org/gmark/67071,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/67071,v=http://example.org/gmark/4008
?P5=null,z=http://example.org/gmark/72936,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/72936,v=http://example.org/gmark/818
?P5=null,z=http://example.org/gmark/72936,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/72936,v=http://example.org/gmark/3988
?P5=null,z=http://example.org/gmark/72936,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/72936,v=http://example.org/gmark/892
?P5=null,z=http://example.org/gmark/70687,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/70687,v=http://example.org/gmark/5147
?P5=null,z=http://example.org/gmark/69221,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/69221,v=http://example.org/gmark/1584
?P5=null,z=http://example.org/gmark/66710,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66710,v=http://example.org/gmark/3083
?P5=null,z=http://example.org/gmark/68723,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/68723,v=http://example.org/gmark/2166
?P5=null,z=http://example.org/gmark/68723,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/68723,v=http://example.org/gmark/2579
?P5=null,z=http://example.org/gmark/68723,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/68723,v=http://example.org/gmark/3948
?P5=null,z=http://example.org/gmark/68723,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/68723,v=http://example.org/gmark/5031
?P5=null,z=http://example.org/gmark/66793,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66793,v=http://example.org/gmark/4227
?P5=null,z=http://example.org/gmark/66793,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/66793,v=http://example.org/gmark/892
?P5=null,z=http://example.org/gmark/68537,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/68537,v=http://example.org/gmark/1348
?P5=null,z=http://example.org/gmark/68537,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/68537,v=http://example.org/gmark/5290
?P5=null,z=http://example.org/gmark/68537,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/68537,v=http://example.org/gmark/892
?P5=null,z=http://example.org/gmark/68537,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/68537,v=http://example.org/gmark/1009
?P5=null,z=http://example.org/gmark/68537,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/68537,v=http://example.org/gmark/5174
?P5=null,z=http://example.org/gmark/68537,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/68537,v=http://example.org/gmark/6303
?P5=null,z=http://example.org/gmark/68537,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/68537,v=http://example.org/gmark/2987
?P5=null,z=http://example.org/gmark/68537,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/68537,v=http://example.org/gmark/5568
?P5=null,z=http://example.org/gmark/73154,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/73154,v=http://example.org/gmark/4824
